Job_ID,Job_Role,Skills,Skill_Count,Experience,Experience_Level,Target_Students,Domain,Source,Companies,Projects,Salary_Range,Salary_Min,Salary_Max,Salary_Avg,Has_Salary_Data,Embedding_Text
72,Equity Research Director,"Financial Analysis, Industry Research, Valuation",3,Senior-level (5+ years),3.0,College,General,CSV,"Morgan Stanley, Goldman Sachs, JP Morgan","Sector Analysis, Investment Recommendations","$200,000 - $350,000",200000,350000,275000,True,"Job Role: Equity Research Director. Skills: Financial Analysis, Industry Research, Valuation. Experience: Senior-level (5+ years). Domain: General"
73,Semiconductor Process Engineer,"Semiconductor Fabrication, Process Integration",2,Mid-level (2-5 years),2.0,College,General,CSV,"TSMC, Intel, Samsung","Chip Manufacturing, Yield Improvement","$100,000 - $160,000",100000,160000,130000,True,"Job Role: Semiconductor Process Engineer. Skills: Semiconductor Fabrication, Process Integration. Experience: Mid-level (2-5 years). Domain: General"
74,Clinical Education Director,"Medical Education, Program Development, Teaching",3,Senior-level (5+ years),3.0,College,General,CSV,"Teaching Hospitals, Medical Schools","Training Program Development, Curriculum Design","$130,000 - $190,000",130000,190000,160000,True,"Job Role: Clinical Education Director. Skills: Medical Education, Program Development, Teaching. Experience: Senior-level (5+ years). Domain: General"
75,Asset Management Associate,"Portfolio Management, Investment Analysis, Client Relations",3,Mid-level (2-5 years),2.0,College,General,CSV,"BlackRock, Vanguard, Fidelity","Investment Strategy, Portfolio Analysis","$110,000 - $170,000",110000,170000,140000,True,"Job Role: Asset Management Associate. Skills: Portfolio Management, Investment Analysis, Client Relations. Experience: Mid-level (2-5 years). Domain: General"
76,Quality Systems Engineer,"QMS, ISO Standards, Regulatory Compliance",3,Mid-level (2-5 years),2.0,College,General,CSV,"Medtronic, Abbott, Boston Scientific","Quality System Implementation, Audit Management","$85,000 - $130,000",85000,130000,107500,True,"Job Role: Quality Systems Engineer. Skills: QMS, ISO Standards, Regulatory Compliance. Experience: Mid-level (2-5 years). Domain: General"
77,Healthcare Technology Manager,"Health IT, Project Management, Clinical Systems",3,Senior-level (5+ years),3.0,College,General,CSV,"Epic, Cerner, Philips Healthcare","Technology Implementation, System Integration","$120,000 - $180,000",120000,180000,150000,True,"Job Role: Healthcare Technology Manager. Skills: Health IT, Project Management, Clinical Systems. Experience: Senior-level (5+ years). Domain: General"
78,Commodities Research Analyst,"Commodity Markets, Economic Analysis, Forecasting",3,Mid-level (2-5 years),2.0,College,General,CSV,"Bloomberg, S&P Global, IHS Markit","Market Analysis, Price Forecasting","$90,000 - $140,000",90000,140000,115000,True,"Job Role: Commodities Research Analyst. Skills: Commodity Markets, Economic Analysis, Forecasting. Experience: Mid-level (2-5 years). Domain: General"
79,Power Systems Engineer,"Power Distribution, Grid Systems, Protection",3,Mid-level (2-5 years),2.0,College,General,CSV,"General Electric, Siemens, ABB","Grid Design, Power System Analysis","$95,000 - $145,000",95000,145000,120000,True,"Job Role: Power Systems Engineer. Skills: Power Distribution, Grid Systems, Protection. Experience: Mid-level (2-5 years). Domain: General"
80,Clinical Systems Analyst,"Healthcare IT, Clinical Workflows, System Analysis",3,Mid-level (2-5 years),2.0,College,General,CSV,"Epic, Cerner, Allscripts","EHR Optimization, Workflow Analysis","$85,000 - $130,000",85000,130000,107500,True,"Job Role: Clinical Systems Analyst. Skills: Healthcare IT, Clinical Workflows, System Analysis. Experience: Mid-level (2-5 years). Domain: General"
81,Real Estate Investment Analyst,"Real Estate Finance, Market Analysis, Modeling",3,Mid-level (2-5 years),2.0,College,General,CSV,"Blackstone Real Estate, CBRE, JLL","Property Valuation, Investment Analysis","$90,000 - $140,000",90000,140000,115000,True,"Job Role: Real Estate Investment Analyst. Skills: Real Estate Finance, Market Analysis, Modeling. Experience: Mid-level (2-5 years). Domain: General"
82,Manufacturing Quality Manager,"Quality Control, Six Sigma, Lean Manufacturing",3,Senior-level (5+ years),3.0,College,General,CSV,"Toyota, Tesla, Ford","Quality Systems, Process Improvement","$110,000 - $170,000",110000,170000,140000,True,"Job Role: Manufacturing Quality Manager. Skills: Quality Control, Six Sigma, Lean Manufacturing. Experience: Senior-level (5+ years). Domain: General"
83,Healthcare Research Director,"Clinical Research, Program Management, Grant Writing",3,Senior-level (5+ years),3.0,College,General,CSV,"Research Hospitals, NIH, CDC","Research Program Development, Clinical Studies","$140,000 - $220,000",140000,220000,180000,True,"Job Role: Healthcare Research Director. Skills: Clinical Research, Program Management, Grant Writing. Experience: Senior-level (5+ years). Domain: General"
84,Investment Strategy Analyst,"Asset Allocation, Portfolio Theory, Risk Analysis",3,Mid-level (2-5 years),2.0,College,General,CSV,"Charles Schwab, Fidelity, Vanguard","Investment Strategy, Asset Analysis","$100,000 - $150,000",100000,150000,125000,True,"Job Role: Investment Strategy Analyst. Skills: Asset Allocation, Portfolio Theory, Risk Analysis. Experience: Mid-level (2-5 years). Domain: General"
85,Embedded Software Engineer,"C/C++, Microcontrollers, RTOS",3,Mid-level (2-5 years),2.0,College,General,CSV,"Texas Instruments, NXP, ARM","Firmware Development, Device Drivers","$100,000 - $160,000",100000,160000,130000,True,"Job Role: Embedded Software Engineer. Skills: C/C++, Microcontrollers, RTOS. Experience: Mid-level (2-5 years). Domain: General"
86,Pharmaceutical Project Manager,"Drug Development, Clinical Trials, Project Management",3,Senior-level (5+ years),3.0,College,General,CSV,"Pfizer, Merck, GSK","Drug Development Programs, Clinical Studies","$130,000 - $190,000",130000,190000,160000,True,"Job Role: Pharmaceutical Project Manager. Skills: Drug Development, Clinical Trials, Project Management. Experience: Senior-level (5+ years). Domain: General"
87,Corporate Development Director,"M&A, Strategy, Business Development",3,Senior-level (5+ years),3.0,College,General,CSV,"Microsoft, Apple, Google","Corporate Strategy, Acquisition Integration","$180,000 - $300,000",180000,300000,240000,True,"Job Role: Corporate Development Director. Skills: M&A, Strategy, Business Development. Experience: Senior-level (5+ years). Domain: General"
88,Automation Controls Engineer,"PLC, SCADA, Industrial Networks",3,Mid-level (2-5 years),2.0,College,General,CSV,"Rockwell Automation, Siemens, ABB","Factory Automation, Process Control","$90,000 - $140,000",90000,140000,115000,True,"Job Role: Automation Controls Engineer. Skills: PLC, SCADA, Industrial Networks. Experience: Mid-level (2-5 years). Domain: General"
89,Healthcare Operations Director,"Healthcare Management, Operations, Compliance",3,Senior-level (5+ years),3.0,College,General,CSV,"HCA Healthcare, Tenet, Community Health","Facility Management, Staff Leadership","$140,000 - $220,000",140000,220000,180000,True,"Job Role: Healthcare Operations Director. Skills: Healthcare Management, Operations, Compliance. Experience: Senior-level (5+ years). Domain: General"
90,Fixed Income Portfolio Manager,"Bond Markets, Portfolio Management, Risk Analysis",3,Senior-level (5+ years),3.0,College,General,CSV,"PIMCO, BlackRock, Vanguard","Fixed Income Strategy, Portfolio Management","$200,000 - $350,000",200000,350000,275000,True,"Job Role: Fixed Income Portfolio Manager. Skills: Bond Markets, Portfolio Management, Risk Analysis. Experience: Senior-level (5+ years). Domain: General"
91,ASIC Design Engineer,"Digital Design, Verilog, FPGA",3,Mid-level (2-5 years),2.0,College,General,CSV,"Intel, AMD, Nvidia","Chip Design, Verification","$120,000",120000,120000,120000,True,"Job Role: ASIC Design Engineer. Skills: Digital Design, Verilog, FPGA. Experience: Mid-level (2-5 years). Domain: General"
92,AI/ML Engineer,"Python, TensorFlow, PyTorch, MLOps, LLM Fine-tuning, Kubernetes, AWS SageMaker",7,Mid-level (2-5 years),2.0,College,General,CSV,"OpenAI, Google DeepMind, Microsoft, Anthropic","Recommendation Engine, LLM Fine-tuning Pipeline, Real-time Inference API","$134,000 - $193,000",134000,193000,163500,True,"Job Role: AI/ML Engineer. Skills: Python, TensorFlow, PyTorch, MLOps, LLM Fine-tuning, Kubernetes, AWS SageMaker. Experience: Mid-level (2-5 years). Domain: General"
93,LLM Engineer,"Python, LLM Fine-tuning, LoRA, RLHF, Prompt Engineering, LangChain, RAG, Vector Databases",8,Mid-level (2-5 years),2.0,College,General,CSV,"Anthropic, OpenAI, Cohere, Mistral AI","Enterprise Chatbot, Domain-specific LLM, Retrieval-Augmented Generation System","$150,000 - $250,000",150000,250000,200000,True,"Job Role: LLM Engineer. Skills: Python, LLM Fine-tuning, LoRA, RLHF, Prompt Engineering, LangChain, RAG, Vector Databases. Experience: Mid-level (2-5 years). Domain: General"
94,MLOps Engineer,"Python, Kubeflow, MLflow, Docker, Kubernetes, CI/CD, Monitoring, AWS/GCP",8,Mid-level (2-5 years),2.0,College,General,CSV,"Meta, Netflix, Uber, Airbnb","Model Deployment Pipeline, Automated Retraining System, Model Versioning Platform","$130,000 - $180,000",130000,180000,155000,True,"Job Role: MLOps Engineer. Skills: Python, Kubeflow, MLflow, Docker, Kubernetes, CI/CD, Monitoring, AWS/GCP. Experience: Mid-level (2-5 years). Domain: General"
95,AI Strategy Consultant,"AI/ML Literacy, Business Strategy, Change Management, Python, Data Analysis, Stakeholder Management",6,Senior-level (5+ years),3.0,College,General,CSV,"McKinsey, Accenture, Deloitte, BCG","Enterprise AI Roadmap, AI Ethics Framework, GenAI Adoption Program","$140,000 - $220,000",140000,220000,180000,True,"Job Role: AI Strategy Consultant. Skills: AI/ML Literacy, Business Strategy, Change Management, Python, Data Analysis, Stakeholder Management. Experience: Senior-level (5+ years). Domain: General"
96,Deep Learning Engineer,"Python, PyTorch, CNN, RNN, Transformers, CUDA, Computer Vision, NLP",8,Senior-level (5+ years),3.0,College,General,CSV,"NVIDIA, Apple, Tesla, Meta AI","Image Classification System, Object Detection Pipeline, Speech Recognition Model","$160,000 - $250,000",160000,250000,205000,True,"Job Role: Deep Learning Engineer. Skills: Python, PyTorch, CNN, RNN, Transformers, CUDA, Computer Vision, NLP. Experience: Senior-level (5+ years). Domain: General"
97,Cybersecurity Engineer,"SIEM, Penetration Testing, Zero Trust, CISSP, Python, Incident Response, AWS Security",7,Mid-level (2-5 years),2.0,College,General,CSV,"CrowdStrike, Palo Alto Networks, Cisco, Microsoft","SOC Automation, Threat Detection System, Zero-Trust Architecture Implementation","$118,500 - $190,750",118500,190750,154625,True,"Job Role: Cybersecurity Engineer. Skills: SIEM, Penetration Testing, Zero Trust, CISSP, Python, Incident Response, AWS Security. Experience: Mid-level (2-5 years). Domain: General"
98,Cloud Security Architect,"AWS, Azure, GCP, Zero Trust, IAM, CSPM, SIEM, Compliance Frameworks, Terraform",9,Senior-level (5+ years),3.0,College,General,CSV,"Amazon, Microsoft, Google, Zscaler","Cloud Security Framework, Identity Governance Platform, Multi-cloud Security Posture","$150,000 - $220,000",150000,220000,185000,True,"Job Role: Cloud Security Architect. Skills: AWS, Azure, GCP, Zero Trust, IAM, CSPM, SIEM, Compliance Frameworks, Terraform. Experience: Senior-level (5+ years). Domain: General"
99,Ethical Hacker / Penetration Tester,"Kali Linux, Metasploit, Burp Suite, OSCP, Python, Network Security, Web App Security",7,Mid-level (2-5 years),2.0,College,General,CSV,"Rapid7, Bugcrowd, Synack, IBM Security","Red Team Exercise, Bug Bounty Program, Web Application Pentest","$100,000 - $160,000",100000,160000,130000,True,"Job Role: Ethical Hacker / Penetration Tester. Skills: Kali Linux, Metasploit, Burp Suite, OSCP, Python, Network Security, Web App Security. Experience: Mid-level (2-5 years). Domain: General"
100,DevOps Engineer,"Docker, Kubernetes, Terraform, Jenkins, AWS, Python, CI/CD, Ansible",8,Mid-level (2-5 years),2.0,College,General,CSV,"Amazon, Spotify, Shopify, HashiCorp","Infrastructure Automation, Microservices Migration, GitOps Pipeline","$118,000 - $173,750",118000,173750,145875,True,"Job Role: DevOps Engineer. Skills: Docker, Kubernetes, Terraform, Jenkins, AWS, Python, CI/CD, Ansible. Experience: Mid-level (2-5 years). Domain: General"
101,Cloud Architect,"AWS, Azure, GCP, Terraform, Microservices, Kubernetes, Cost Optimization, Security, Docker, Networking, Scripting, DevOps, Problem Solving",13,Senior-level (5+ years),3.0,College,Technical,CSV+XLSX,"Amazon, Google, Microsoft, Accenture","Cloud Migration Strategy, Multi-cloud Architecture, Serverless Platform","$150,000 - $220,000",150000,220000,185000,True,"Job Role: Cloud Architect. Skills: AWS, Azure, GCP, Terraform, Microservices, Kubernetes, Cost Optimization, Security, Docker, Networking, Scripting, DevOps, Problem Solving. Experience: Senior-level (5+ years). Domain: Technical"
102,Site Reliability Engineer,"Go, Python, Kubernetes, Prometheus, Grafana, Incident Management, SLO/SLA, Terraform",8,Senior-level (5+ years),3.0,College,General,CSV,"Google, Netflix, LinkedIn, Twitter","Observability Platform, Chaos Engineering Framework, Reliability Runbook Automation","$140,000 - $200,000",140000,200000,170000,True,"Job Role: Site Reliability Engineer. Skills: Go, Python, Kubernetes, Prometheus, Grafana, Incident Management, SLO/SLA, Terraform. Experience: Senior-level (5+ years). Domain: General"
103,Data Scientist,"Python, R, Machine Learning, SQL, TensorFlow, Statistical Modeling, Spark, Tableau, Statistics, Pandas, NumPy, Data Visualization, Communication, Problem Solving",14,Mid-level (2-5 years),2.0,College,Technical,CSV+XLSX,"Google, Facebook, Amazon, Airbnb","Customer Churn Prediction, Demand Forecasting, A/B Testing Framework","$121,750 - $182,500",121750,182500,152125,True,"Job Role: Data Scientist. Skills: Python, R, Machine Learning, SQL, TensorFlow, Statistical Modeling, Spark, Tableau, Statistics, Pandas, NumPy, Data Visualization, Communication, Problem Solving. Experience: Mid-level (2-5 years). Domain: Technical"
104,Data Engineer,"Python, Spark, Kafka, dbt, Airflow, Snowflake, SQL, AWS Glue",8,Mid-level (2-5 years),2.0,College,General,CSV,"Snowflake, Databricks, Stripe, Twilio","Real-time Data Pipeline, Data Lakehouse Architecture, ELT Automation","$120,000 - $175,000",120000,175000,147500,True,"Job Role: Data Engineer. Skills: Python, Spark, Kafka, dbt, Airflow, Snowflake, SQL, AWS Glue. Experience: Mid-level (2-5 years). Domain: General"
105,Data Analyst,"SQL, Python, Tableau, Power BI, Excel, Statistics, Google Analytics, dbt, Pandas, NumPy, Data Cleaning, Data Visualization, PowerBI, Report Writing, Problem Solving, Communication",16,Entry-level (0-2 years),1.0,College,Technical,CSV+XLSX,"Salesforce, HubSpot, Adobe, Shopify","Executive Dashboard, Sales Funnel Analysis, Customer Segmentation","$96,250 - $138,500",96250,138500,117375,True,"Job Role: Data Analyst. Skills: SQL, Python, Tableau, Power BI, Excel, Statistics, Google Analytics, dbt, Pandas, NumPy, Data Cleaning, Data Visualization, PowerBI, Report Writing, Problem Solving, Communication. Experience: Entry-level (0-2 years). Domain: Technical"
106,Backend Software Engineer,"Python, Go, Java, REST APIs, PostgreSQL, Redis, Kafka, Docker",8,Mid-level (2-5 years),2.0,College,General,CSV,"Stripe, Square, PayPal, Plaid","Payments Microservice, Real-time Notification System, API Gateway","$115,000 - $175,000",115000,175000,145000,True,"Job Role: Backend Software Engineer. Skills: Python, Go, Java, REST APIs, PostgreSQL, Redis, Kafka, Docker. Experience: Mid-level (2-5 years). Domain: General"
107,Frontend Engineer,"React, TypeScript, Next.js, GraphQL, Tailwind CSS, Jest, Storybook, Figma",8,Mid-level (2-5 years),2.0,College,General,CSV,"Vercel, Figma, Atlassian, Shopify","Design System, Progressive Web App, Performance Optimization","$110,000 - $165,000",110000,165000,137500,True,"Job Role: Frontend Engineer. Skills: React, TypeScript, Next.js, GraphQL, Tailwind CSS, Jest, Storybook, Figma. Experience: Mid-level (2-5 years). Domain: General"
108,Mobile App Developer,"Swift, Kotlin, React Native, Flutter, Firebase, REST APIs, App Store Deployment, Java, APIs, Git, Debugging, Problem Solving",12,Mid-level (2-5 years),2.0,College,Technical,CSV+XLSX,"Apple, Samsung, Lyft, DoorDash","Cross-platform Banking App, Health Tracking App, E-commerce Mobile App","$110,000 - $165,000",110000,165000,137500,True,"Job Role: Mobile App Developer. Skills: Swift, Kotlin, React Native, Flutter, Firebase, REST APIs, App Store Deployment, Java, APIs, Git, Debugging, Problem Solving. Experience: Mid-level (2-5 years). Domain: Technical"
109,Platform Engineer,"Kubernetes, Golang, Terraform, Backstage, Internal Developer Platform, AWS, Observability",7,Senior-level (5+ years),3.0,College,General,CSV,"Spotify, Airbnb, LinkedIn, Twilio","Internal Developer Portal, Self-service Infrastructure Platform, Golden Path Templates","$145,000 - $200,000",145000,200000,172500,True,"Job Role: Platform Engineer. Skills: Kubernetes, Golang, Terraform, Backstage, Internal Developer Platform, AWS, Observability. Experience: Senior-level (5+ years). Domain: General"
110,Product Manager,"Roadmapping, SQL, User Research, A/B Testing, Jira, Figma, OKRs, Stakeholder Management",8,Mid-level (2-5 years),2.0,College,General,CSV,"Google, Meta, Stripe, Atlassian","0-to-1 Product Launch, Growth Feature Rollout, Platform Strategy","$120,000 - $185,000",120000,185000,152500,True,"Job Role: Product Manager. Skills: Roadmapping, SQL, User Research, A/B Testing, Jira, Figma, OKRs, Stakeholder Management. Experience: Mid-level (2-5 years). Domain: General"
111,UX Designer,"Figma, User Research, Wireframing, Usability Testing, Interaction Design, Design Systems",6,Mid-level (2-5 years),2.0,College,General,CSV,"Apple, Google, Airbnb, IDEO","Mobile App Redesign, Design System Creation, Accessibility Audit","$95,000 - $145,000",95000,145000,120000,True,"Job Role: UX Designer. Skills: Figma, User Research, Wireframing, Usability Testing, Interaction Design, Design Systems. Experience: Mid-level (2-5 years). Domain: General"
112,Agentic AI Developer,"Python, LangGraph, AutoGen, Tool Use APIs, RAG, LLM Orchestration, FastAPI",7,Mid-level (2-5 years),2.0,College,General,CSV,"Anthropic, Microsoft, Salesforce, ServiceNow","Autonomous Research Agent, Multi-agent Workflow System, AI-powered Code Review Bot","$155,000 - $240,000",155000,240000,197500,True,"Job Role: Agentic AI Developer. Skills: Python, LangGraph, AutoGen, Tool Use APIs, RAG, LLM Orchestration, FastAPI. Experience: Mid-level (2-5 years). Domain: General"
113,Blockchain Developer,"Solidity, Ethereum, Web3.js, Smart Contracts, DeFi, Rust, Hardhat, IPFS, Cryptography, Python, Problem Solving, Git, Testing",13,Mid-level (2-5 years),2.0,College,Technical,CSV+XLSX,"Coinbase, Binance, Chainalysis, Consensys","DeFi Protocol, NFT Marketplace, Cross-chain Bridge","$120,000 - $200,000",120000,200000,160000,True,"Job Role: Blockchain Developer. Skills: Solidity, Ethereum, Web3.js, Smart Contracts, DeFi, Rust, Hardhat, IPFS, Cryptography, Python, Problem Solving, Git, Testing. Experience: Mid-level (2-5 years). Domain: Technical"
114,Quantum Computing Researcher,"Qiskit, Cirq, Linear Algebra, Quantum Algorithms, Python, C++, Error Correction",7,Senior-level (5+ years),3.0,College,General,CSV,"IBM Quantum, Google Quantum AI, IonQ, Rigetti","Quantum Error Mitigation, Variational Quantum Eigensolver, Quantum Cryptography Protocol","$150,000 - $250,000",150000,250000,200000,True,"Job Role: Quantum Computing Researcher. Skills: Qiskit, Cirq, Linear Algebra, Quantum Algorithms, Python, C++, Error Correction. Experience: Senior-level (5+ years). Domain: General"
115,Fintech Product Manager,"Payment Systems, API Integration, Regulatory Compliance, SQL, Agile, Risk Management",6,Mid-level (2-5 years),2.0,College,General,CSV,"Stripe, Plaid, Chime, Revolut","Payment Gateway Launch, Open Banking Integration, Fraud Detection Feature","$130,000 - $190,000",130000,190000,160000,True,"Job Role: Fintech Product Manager. Skills: Payment Systems, API Integration, Regulatory Compliance, SQL, Agile, Risk Management. Experience: Mid-level (2-5 years). Domain: General"
116,ESG Analyst,"ESG Frameworks, Bloomberg, Python, Financial Modeling, Sustainability Reporting, TCFD",6,Entry-level (0-2 years),1.0,College,General,CSV,"BlackRock, MSCI, S&P Global, Sustainalytics","ESG Portfolio Scoring, Carbon Footprint Report, Sustainable Investment Strategy","$80,000 - $120,000",80000,120000,100000,True,"Job Role: ESG Analyst. Skills: ESG Frameworks, Bloomberg, Python, Financial Modeling, Sustainability Reporting, TCFD. Experience: Entry-level (0-2 years). Domain: General"
117,Bioinformatics Scientist,"Python, R, Genomics, GATK, Bioconductor, SQL, Machine Learning, NGS Analysis",8,Mid-level (2-5 years),2.0,College,General,CSV,"Illumina, 23andMe, Broad Institute, Genentech","Genomic Variant Pipeline, Drug Target Identification, Population Genetics Study","$100,000 - $155,000",100000,155000,127500,True,"Job Role: Bioinformatics Scientist. Skills: Python, R, Genomics, GATK, Bioconductor, SQL, Machine Learning, NGS Analysis. Experience: Mid-level (2-5 years). Domain: General"
118,Health Informatics Manager,"EHR Systems, HL7/FHIR, SQL, HIPAA, Interoperability, Project Management, Python",7,Senior-level (5+ years),3.0,College,General,CSV,"Epic Systems, Cerner, Kaiser Permanente, Mayo Clinic","EHR Implementation, Patient Data Integration, Clinical Decision Support System","$100,000 - $150,000",100000,150000,125000,True,"Job Role: Health Informatics Manager. Skills: EHR Systems, HL7/FHIR, SQL, HIPAA, Interoperability, Project Management, Python. Experience: Senior-level (5+ years). Domain: General"
119,Digital Health Product Manager,"Healthcare Regulations, Agile, UX Research, FHIR, Data Analytics, Roadmapping, FDA 510(k)",7,Mid-level (2-5 years),2.0,College,General,CSV,"Teladoc, Hims & Hers, Noom, Abbott","Patient Portal App, Remote Monitoring Platform, Digital Therapeutics Product","$115,000 - $170,000",115000,170000,142500,True,"Job Role: Digital Health Product Manager. Skills: Healthcare Regulations, Agile, UX Research, FHIR, Data Analytics, Roadmapping, FDA 510(k). Experience: Mid-level (2-5 years). Domain: General"
120,Legal Tech Specialist,"Contract Management, AI Legal Tools, Document Review, eDiscovery, Compliance, SQL",6,Mid-level (2-5 years),2.0,College,General,CSV,"Ironclad, Kira Systems, LexisNexis, Thomson Reuters","Contract Automation System, Legal AI Implementation, Compliance Dashboard","$90,000 - $140,000",90000,140000,115000,True,"Job Role: Legal Tech Specialist. Skills: Contract Management, AI Legal Tools, Document Review, eDiscovery, Compliance, SQL. Experience: Mid-level (2-5 years). Domain: General"
121,People Analytics Manager,"Python, SQL, Tableau, Workday, HR Metrics, Statistical Analysis, A/B Testing",7,Mid-level (2-5 years),2.0,College,General,CSV,"Workday, LinkedIn, Google, Airbnb","Employee Attrition Model, Compensation Benchmarking, Workforce Planning Dashboard","$105,000 - $155,000",105000,155000,130000,True,"Job Role: People Analytics Manager. Skills: Python, SQL, Tableau, Workday, HR Metrics, Statistical Analysis, A/B Testing. Experience: Mid-level (2-5 years). Domain: General"
122,Battery Systems Engineer,"Electrochemistry, BMS Design, MATLAB, Python, CAD, Thermal Modeling, ISO 26262",7,Mid-level (2-5 years),2.0,College,General,CSV,"Tesla, Rivian, QuantumScape, Panasonic Energy","EV Battery Pack Design, Cell Characterization, Battery Management System","$110,000 - $165,000",110000,165000,137500,True,"Job Role: Battery Systems Engineer. Skills: Electrochemistry, BMS Design, MATLAB, Python, CAD, Thermal Modeling, ISO 26262. Experience: Mid-level (2-5 years). Domain: General"
123,Autonomous Systems Engineer,"ROS2, C++, Python, SLAM, Sensor Fusion, Computer Vision, Perception Algorithms",7,Senior-level (5+ years),3.0,College,General,CSV,"Waymo, Cruise, Aurora, Boston Dynamics","Autonomous Navigation Stack, Sensor Fusion Pipeline, Simulation Environment","$145,000 - $220,000",145000,220000,182500,True,"Job Role: Autonomous Systems Engineer. Skills: ROS2, C++, Python, SLAM, Sensor Fusion, Computer Vision, Perception Algorithms. Experience: Senior-level (5+ years). Domain: General"
124,Photonics Engineer,"Optical Design, MATLAB, Python, COMSOL, Laser Systems, Fiber Optics, LiDAR",7,Mid-level (2-5 years),2.0,College,General,CSV,"Lumentum, II-VI, Apple, Meta Reality Labs","LiDAR Sensor Design, Fiber Optic Communication System, Photonic Integrated Circuit","$105,000 - $160,000",105000,160000,132500,True,"Job Role: Photonics Engineer. Skills: Optical Design, MATLAB, Python, COMSOL, Laser Systems, Fiber Optics, LiDAR. Experience: Mid-level (2-5 years). Domain: General"
125,Growth Marketing Manager,"SQL, Python, A/B Testing, SEO, SEM, CRM, Marketing Analytics, Lifecycle Marketing",8,Mid-level (2-5 years),2.0,College,General,CSV,"Notion, Linear, Canva, HubSpot","User Acquisition Campaign, Retention Optimization, Referral Program","$95,000 - $145,000",95000,145000,120000,True,"Job Role: Growth Marketing Manager. Skills: SQL, Python, A/B Testing, SEO, SEM, CRM, Marketing Analytics, Lifecycle Marketing. Experience: Mid-level (2-5 years). Domain: General"
126,AI Content Strategist,"LLM Prompt Engineering, SEO, Content Strategy, Analytics, CMS, Brand Voice Guidelines",6,Mid-level (2-5 years),2.0,College,General,CSV,"Jasper, Copy.ai, HubSpot, Contently","AI Content Workflow, Content Performance Dashboard, Brand Voice AI Training","$85,000 - $130,000",85000,130000,107500,True,"Job Role: AI Content Strategist. Skills: LLM Prompt Engineering, SEO, Content Strategy, Analytics, CMS, Brand Voice Guidelines. Experience: Mid-level (2-5 years). Domain: General"
127,ERP Business Analyst,"SAP, Oracle ERP, SQL, Business Process Mapping, Change Management, Agile, ABAP",7,Senior-level (5+ years),3.0,College,General,CSV,"SAP, Deloitte, PwC, Capgemini","SAP S/4HANA Migration, ERP Customization, Business Process Reengineering","$101,000 - $145,000",101000,145000,123000,True,"Job Role: ERP Business Analyst. Skills: SAP, Oracle ERP, SQL, Business Process Mapping, Change Management, Agile, ABAP. Experience: Senior-level (5+ years). Domain: General"
128,Renewable Energy Engineer,"SCADA, PVsyst, MATLAB, Energy Storage, Grid Integration, AutoCAD, PSCAD, Solar, Wind, Battery Storage, System Design, Data Analysis, Troubleshooting, Problem Solving",14,Mid-level (2-5 years),2.0,College,Electrical,CSV+XLSX,"NextEra Energy, First Solar, Vestas, ENGIE","Solar Farm Design, Wind Energy Assessment, Grid-scale Battery Storage","$90,000 - $135,000",90000,135000,112500,True,"Job Role: Renewable Energy Engineer. Skills: SCADA, PVsyst, MATLAB, Energy Storage, Grid Integration, AutoCAD, PSCAD, Solar, Wind, Battery Storage, System Design, Data Analysis, Troubleshooting, Problem Solving. Experience: Mid-level (2-5 years). Domain: Electrical"
129,Climate Data Scientist,"Python, R, NetCDF, Climate Modeling, Machine Learning, GIS, Statistical Analysis",7,Mid-level (2-5 years),2.0,College,General,CSV,"NOAA, The Climate Corporation, Pachama, Xpansiv","Climate Risk Assessment, Emissions Tracking Dashboard, Carbon Credit Validation","$100,000 - $155,000",100000,155000,127500,True,"Job Role: Climate Data Scientist. Skills: Python, R, NetCDF, Climate Modeling, Machine Learning, GIS, Statistical Analysis. Experience: Mid-level (2-5 years). Domain: General"
130,Space Systems Engineer,"Systems Engineering, MATLAB, Orbital Mechanics, CAD, GNC Algorithms, VHDL, Python",7,Senior-level (5+ years),3.0,College,General,CSV,"SpaceX, Blue Origin, Rocket Lab, Northrop Grumman","Satellite Constellation Design, Attitude Control System, Mission Planning Software","$120,000 - $185,000",120000,185000,152500,True,"Job Role: Space Systems Engineer. Skills: Systems Engineering, MATLAB, Orbital Mechanics, CAD, GNC Algorithms, VHDL, Python. Experience: Senior-level (5+ years). Domain: General"
131,AI/ML Intern,"Python, TensorFlow, PyTorch, Scikit-learn, NumPy, Pandas, Data Preprocessing, Feature Engineering, Model Evaluation, Machine Learning Algorithms, Deep Learning, Neural Networks, Data Visualization, Problem Solving",14,Entry-level (0-2 years),1.0,College,Technical,XLSX,,,,0,0,0,False,"Job Role: AI/ML Intern. Skills: Python, TensorFlow, PyTorch, Scikit-learn, NumPy, Pandas, Data Preprocessing, Feature Engineering, Model Evaluation, Machine Learning Algorithms, Deep Learning, Neural Networks, Data Visualization, Problem Solving. Experience: Entry-level (0-2 years). Domain: Technical"
132,Software Developer,"Java, C++, Python, Git, Debugging, OOP Concepts, Data Structures, Algorithms, SQL, REST APIs, Unit Testing, Problem Solving, Communication",13,Entry-level (0-2 years),1.0,College,Technical,XLSX,,,,0,0,0,False,"Job Role: Software Developer. Skills: Java, C++, Python, Git, Debugging, OOP Concepts, Data Structures, Algorithms, SQL, REST APIs, Unit Testing, Problem Solving, Communication. Experience: Entry-level (0-2 years). Domain: Technical"
