Job_ID,Job_Role,Skills,Skills_Normalised,Skills_List,Projects,Companies,Domain,Target_Students,Experience_Label,Experience_Level,Salary_Range,Salary_Min,Salary_Max,Salary_Avg,Has_Salary_Data,Skill_Count,Skill_Count_Outlier,Embedding_Text
100,Devops Engineer,"Docker, Kubernetes, Terraform, Jenkins, AWS, Python, CI/CD, Ansible",docker | kubernetes | terraform | jenkins | aws | python | cicd | ansible,"[""docker"", ""kubernetes"", ""terraform"", ""jenkins"", ""aws"", ""python"", ""cicd"", ""ansible""]","Infrastructure Automation, Microservices Migration, GitOps Pipeline","Amazon, Spotify, Shopify, HashiCorp",General,College,Mid-level (2-5 years),2.0,"$118,000 - $173,750",118000,173750,145875,True,8,False,"Job Role: Devops Engineer. Skills: Docker, Kubernetes, Terraform, Jenkins, AWS, Python, CI/CD, Ansible. Projects: Infrastructure Automation, Microservices Migration, GitOps Pipeline. Experience: Mid-level (2-5 years)"
101,Cloud Architect,"AWS, Azure, GCP, Terraform, Microservices, Kubernetes, Cost Optimization, Security, Docker, Networking, Scripting, DevOps, Problem Solving",aws | azure | google cloud platform | terraform | microservices | kubernetes | cost optimization | security | docker | networking | scripting | devops | problem solving,"[""aws"", ""azure"", ""google cloud platform"", ""terraform"", ""microservices"", ""kubernetes"", ""cost optimization"", ""security"", ""docker"", ""networking"", ""scripting"", ""devops"", ""problem solving""]","Cloud Migration Strategy, Multi-cloud Architecture, Serverless Platform","Amazon, Google, Microsoft, Accenture",Technical,College,Senior-level (5+ years),3.0,"$150,000 - $220,000",150000,220000,185000,True,13,True,"Job Role: Cloud Architect. Skills: AWS, Azure, GCP, Terraform, Microservices, Kubernetes, Cost Optimization, Security, Docker, Networking, Scripting, DevOps, Problem Solving. Projects: Cloud Migration Strategy, Multi-cloud Architecture, Serverless Platform. Experience: Senior-level (5+ years)"
102,Site Reliability Engineer,"Go, Python, Kubernetes, Prometheus, Grafana, Incident Management, SLO/SLA, Terraform",go | python | kubernetes | prometheus | grafana | incident management | slo/sla | terraform,"[""go"", ""python"", ""kubernetes"", ""prometheus"", ""grafana"", ""incident management"", ""slo/sla"", ""terraform""]","Observability Platform, Chaos Engineering Framework, Reliability Runbook Automation","Google, Netflix, LinkedIn, Twitter",General,College,Senior-level (5+ years),3.0,"$140,000 - $200,000",140000,200000,170000,True,8,False,"Job Role: Site Reliability Engineer. Skills: Go, Python, Kubernetes, Prometheus, Grafana, Incident Management, SLO/SLA, Terraform. Projects: Observability Platform, Chaos Engineering Framework, Reliability Runbook Automation. Experience: Senior-level (5+ years)"
103,Data Scientist,"Python, R, Machine Learning, SQL, TensorFlow, Statistical Modeling, Spark, Tableau, Statistics, Pandas, NumPy, Data Visualization, Communication, Problem Solving",python | r | machine learning | sql | tensorflow | statistical modeling | spark | tableau | statistics | pandas | numpy | data visualization | communication | problem solving,"[""python"", ""r"", ""machine learning"", ""sql"", ""tensorflow"", ""statistical modeling"", ""spark"", ""tableau"", ""statistics"", ""pandas"", ""numpy"", ""data visualization"", ""communication"", ""problem solving""]","Customer Churn Prediction, Demand Forecasting, A/B Testing Framework","Google, Facebook, Amazon, Airbnb",Technical,College,Mid-level (2-5 years),2.0,"$121,750 - $182,500",121750,182500,152125,True,14,True,"Job Role: Data Scientist. Skills: Python, R, Machine Learning, SQL, TensorFlow, Statistical Modeling, Spark, Tableau, Statistics, Pandas, NumPy, Data Visualization, Communication, Problem Solving. Projects: Customer Churn Prediction, Demand Forecasting, A/B Testing Framework. Experience: Mid-level (2-5 years)"
104,Data Engineer,"Python, Spark, Kafka, dbt, Airflow, Snowflake, SQL, AWS Glue",python | spark | kafka | dbt | airflow | snowflake | sql | aws glue,"[""python"", ""spark"", ""kafka"", ""dbt"", ""airflow"", ""snowflake"", ""sql"", ""aws glue""]","Real-time Data Pipeline, Data Lakehouse Architecture, ELT Automation","Snowflake, Databricks, Stripe, Twilio",General,College,Mid-level (2-5 years),2.0,"$120,000 - $175,000",120000,175000,147500,True,8,False,"Job Role: Data Engineer. Skills: Python, Spark, Kafka, dbt, Airflow, Snowflake, SQL, AWS Glue. Projects: Real-time Data Pipeline, Data Lakehouse Architecture, ELT Automation. Experience: Mid-level (2-5 years)"
105,Data Analyst,"SQL, Python, Tableau, Power BI, Excel, Statistics, Google Analytics, dbt, Pandas, NumPy, Data Cleaning, Data Visualization, PowerBI, Report Writing, Problem Solving, Communication",sql | python | tableau | power bi | excel | statistics | google analytics | dbt | pandas | numpy | data cleaning | data visualization | powerbi | report writing | problem solving | communication,"[""sql"", ""python"", ""tableau"", ""power bi"", ""excel"", ""statistics"", ""google analytics"", ""dbt"", ""pandas"", ""numpy"", ""data cleaning"", ""data visualization"", ""powerbi"", ""report writing"", ""problem solving"", ""communication""]","Executive Dashboard, Sales Funnel Analysis, Customer Segmentation","Salesforce, HubSpot, Adobe, Shopify",Technical,College,Entry-level (0-2 years),1.0,"$96,250 - $138,500",96250,138500,117375,True,16,True,"Job Role: Data Analyst. Skills: SQL, Python, Tableau, Power BI, Excel, Statistics, Google Analytics, dbt, Pandas, NumPy, Data Cleaning, Data Visualization, PowerBI, Report Writing, Problem Solving, Communication. Projects: Executive Dashboard, Sales Funnel Analysis, Customer Segmentation. Experience: Entry-level (0-2 years)"
106,Backend Software Engineer,"Python, Go, Java, REST APIs, PostgreSQL, Redis, Kafka, Docker",python | go | java | rest apis | postgresql | redis | kafka | docker,"[""python"", ""go"", ""java"", ""rest apis"", ""postgresql"", ""redis"", ""kafka"", ""docker""]","Payments Microservice, Real-time Notification System, API Gateway","Stripe, Square, PayPal, Plaid",General,College,Mid-level (2-5 years),2.0,"$115,000 - $175,000",115000,175000,145000,True,8,False,"Job Role: Backend Software Engineer. Skills: Python, Go, Java, REST APIs, PostgreSQL, Redis, Kafka, Docker. Projects: Payments Microservice, Real-time Notification System, API Gateway. Experience: Mid-level (2-5 years)"
107,Frontend Engineer,"React, TypeScript, Next.js, GraphQL, Tailwind CSS, Jest, Storybook, Figma",react | typescript | next.js | graphql | tailwind css | jest | storybook | figma,"[""react"", ""typescript"", ""next.js"", ""graphql"", ""tailwind css"", ""jest"", ""storybook"", ""figma""]","Design System, Progressive Web App, Performance Optimization","Vercel, Figma, Atlassian, Shopify",General,College,Mid-level (2-5 years),2.0,"$110,000 - $165,000",110000,165000,137500,True,8,False,"Job Role: Frontend Engineer. Skills: React, TypeScript, Next.js, GraphQL, Tailwind CSS, Jest, Storybook, Figma. Projects: Design System, Progressive Web App, Performance Optimization. Experience: Mid-level (2-5 years)"
108,Mobile App Developer,"Swift, Kotlin, React Native, Flutter, Firebase, REST APIs, App Store Deployment, Java, APIs, Git, Debugging, Problem Solving",swift | kotlin | react native | flutter | firebase | rest apis | app store deployment | java | apis | git | debugging | problem solving,"[""swift"", ""kotlin"", ""react native"", ""flutter"", ""firebase"", ""rest apis"", ""app store deployment"", ""java"", ""apis"", ""git"", ""debugging"", ""problem solving""]","Cross-platform Banking App, Health Tracking App, E-commerce Mobile App","Apple, Samsung, Lyft, DoorDash",Technical,College,Mid-level (2-5 years),2.0,"$110,000 - $165,000",110000,165000,137500,True,12,True,"Job Role: Mobile App Developer. Skills: Swift, Kotlin, React Native, Flutter, Firebase, REST APIs, App Store Deployment, Java, APIs, Git, Debugging, Problem Solving. Projects: Cross-platform Banking App, Health Tracking App, E-commerce Mobile App. Experience: Mid-level (2-5 years)"
109,Platform Engineer,"Kubernetes, Golang, Terraform, Backstage, Internal Developer Platform, AWS, Observability",kubernetes | golang | terraform | backstage | internal developer platform | aws | observability,"[""kubernetes"", ""golang"", ""terraform"", ""backstage"", ""internal developer platform"", ""aws"", ""observability""]","Internal Developer Portal, Self-service Infrastructure Platform, Golden Path Templates","Spotify, Airbnb, LinkedIn, Twilio",General,College,Senior-level (5+ years),3.0,"$145,000 - $200,000",145000,200000,172500,True,7,False,"Job Role: Platform Engineer. Skills: Kubernetes, Golang, Terraform, Backstage, Internal Developer Platform, AWS, Observability. Projects: Internal Developer Portal, Self-service Infrastructure Platform, Golden Path Templates. Experience: Senior-level (5+ years)"
110,Product Manager,"Roadmapping, SQL, User Research, A/B Testing, Jira, Figma, OKRs, Stakeholder Management",roadmapping | sql | user research | a/b testing | jira | figma | okrs | stakeholder management,"[""roadmapping"", ""sql"", ""user research"", ""a/b testing"", ""jira"", ""figma"", ""okrs"", ""stakeholder management""]","0-to-1 Product Launch, Growth Feature Rollout, Platform Strategy","Google, Meta, Stripe, Atlassian",General,College,Mid-level (2-5 years),2.0,"$120,000 - $185,000",120000,185000,152500,True,8,False,"Job Role: Product Manager. Skills: Roadmapping, SQL, User Research, A/B Testing, Jira, Figma, OKRs, Stakeholder Management. Projects: 0-to-1 Product Launch, Growth Feature Rollout, Platform Strategy. Experience: Mid-level (2-5 years)"
111,Ux Designer,"Figma, User Research, Wireframing, Usability Testing, Interaction Design, Design Systems",figma | user research | wireframing | usability testing | interaction design | design systems,"[""figma"", ""user research"", ""wireframing"", ""usability testing"", ""interaction design"", ""design systems""]","Mobile App Redesign, Design System Creation, Accessibility Audit","Apple, Google, Airbnb, IDEO",General,College,Mid-level (2-5 years),2.0,"$95,000 - $145,000",95000,145000,120000,True,6,False,"Job Role: Ux Designer. Skills: Figma, User Research, Wireframing, Usability Testing, Interaction Design, Design Systems. Projects: Mobile App Redesign, Design System Creation, Accessibility Audit. Experience: Mid-level (2-5 years)"
112,Agentic Ai Developer,"Python, LangGraph, AutoGen, Tool Use APIs, RAG, LLM Orchestration, FastAPI",python | langgraph | autogen | tool use apis | rag | llm orchestration | fastapi,"[""python"", ""langgraph"", ""autogen"", ""tool use apis"", ""rag"", ""llm orchestration"", ""fastapi""]","Autonomous Research Agent, Multi-agent Workflow System, AI-powered Code Review Bot","Anthropic, Microsoft, Salesforce, ServiceNow",General,College,Mid-level (2-5 years),2.0,"$155,000 - $240,000",155000,240000,197500,True,7,False,"Job Role: Agentic Ai Developer. Skills: Python, LangGraph, AutoGen, Tool Use APIs, RAG, LLM Orchestration, FastAPI. Projects: Autonomous Research Agent, Multi-agent Workflow System, AI-powered Code Review Bot. Experience: Mid-level (2-5 years)"
113,Blockchain Developer,"Solidity, Ethereum, Web3.js, Smart Contracts, DeFi, Rust, Hardhat, IPFS, Cryptography, Python, Problem Solving, Git, Testing",solidity | ethereum | web3.js | smart contracts | defi | rust | hardhat | ipfs | cryptography | python | problem solving | git | testing,"[""solidity"", ""ethereum"", ""web3.js"", ""smart contracts"", ""defi"", ""rust"", ""hardhat"", ""ipfs"", ""cryptography"", ""python"", ""problem solving"", ""git"", ""testing""]","DeFi Protocol, NFT Marketplace, Cross-chain Bridge","Coinbase, Binance, Chainalysis, Consensys",Technical,College,Mid-level (2-5 years),2.0,"$120,000 - $200,000",120000,200000,160000,True,13,True,"Job Role: Blockchain Developer. Skills: Solidity, Ethereum, Web3.js, Smart Contracts, DeFi, Rust, Hardhat, IPFS, Cryptography, Python, Problem Solving, Git, Testing. Projects: DeFi Protocol, NFT Marketplace, Cross-chain Bridge. Experience: Mid-level (2-5 years)"
114,Quantum Computing Researcher,"Qiskit, Cirq, Linear Algebra, Quantum Algorithms, Python, C++, Error Correction",qiskit | cirq | linear algebra | quantum algorithms | python | c++ | error correction,"[""qiskit"", ""cirq"", ""linear algebra"", ""quantum algorithms"", ""python"", ""c++"", ""error correction""]","Quantum Error Mitigation, Variational Quantum Eigensolver, Quantum Cryptography Protocol","IBM Quantum, Google Quantum AI, IonQ, Rigetti",General,College,Senior-level (5+ years),3.0,"$150,000 - $250,000",150000,250000,200000,True,7,False,"Job Role: Quantum Computing Researcher. Skills: Qiskit, Cirq, Linear Algebra, Quantum Algorithms, Python, C++, Error Correction. Projects: Quantum Error Mitigation, Variational Quantum Eigensolver, Quantum Cryptography Protocol. Experience: Senior-level (5+ years)"
115,Fintech Product Manager,"Payment Systems, API Integration, Regulatory Compliance, SQL, Agile, Risk Management",payment systems | api integration | regulatory compliance | sql | agile | risk management,"[""payment systems"", ""api integration"", ""regulatory compliance"", ""sql"", ""agile"", ""risk management""]","Payment Gateway Launch, Open Banking Integration, Fraud Detection Feature","Stripe, Plaid, Chime, Revolut",General,College,Mid-level (2-5 years),2.0,"$130,000 - $190,000",130000,190000,160000,True,6,False,"Job Role: Fintech Product Manager. Skills: Payment Systems, API Integration, Regulatory Compliance, SQL, Agile, Risk Management. Projects: Payment Gateway Launch, Open Banking Integration, Fraud Detection Feature. Experience: Mid-level (2-5 years)"
116,Esg Analyst,"ESG Frameworks, Bloomberg, Python, Financial Modeling, Sustainability Reporting, TCFD",esg frameworks | bloomberg | python | financial modeling | sustainability reporting | tcfd,"[""esg frameworks"", ""bloomberg"", ""python"", ""financial modeling"", ""sustainability reporting"", ""tcfd""]","ESG Portfolio Scoring, Carbon Footprint Report, Sustainable Investment Strategy","BlackRock, MSCI, S&P Global, Sustainalytics",General,College,Entry-level (0-2 years),1.0,"$80,000 - $120,000",80000,120000,100000,True,6,False,"Job Role: Esg Analyst. Skills: ESG Frameworks, Bloomberg, Python, Financial Modeling, Sustainability Reporting, TCFD. Projects: ESG Portfolio Scoring, Carbon Footprint Report, Sustainable Investment Strategy. Experience: Entry-level (0-2 years)"
117,Bioinformatics Scientist,"Python, R, Genomics, GATK, Bioconductor, SQL, Machine Learning, NGS Analysis",python | r | genomics | gatk | bioconductor | sql | machine learning | ngs analysis,"[""python"", ""r"", ""genomics"", ""gatk"", ""bioconductor"", ""sql"", ""machine learning"", ""ngs analysis""]","Genomic Variant Pipeline, Drug Target Identification, Population Genetics Study","Illumina, 23andMe, Broad Institute, Genentech",General,College,Mid-level (2-5 years),2.0,"$100,000 - $155,000",100000,155000,127500,True,8,False,"Job Role: Bioinformatics Scientist. Skills: Python, R, Genomics, GATK, Bioconductor, SQL, Machine Learning, NGS Analysis. Projects: Genomic Variant Pipeline, Drug Target Identification, Population Genetics Study. Experience: Mid-level (2-5 years)"
118,Health Informatics Manager,"EHR Systems, HL7/FHIR, SQL, HIPAA, Interoperability, Project Management, Python",ehr systems | hl7/fhir | sql | hipaa | interoperability | project management | python,"[""ehr systems"", ""hl7/fhir"", ""sql"", ""hipaa"", ""interoperability"", ""project management"", ""python""]","EHR Implementation, Patient Data Integration, Clinical Decision Support System","Epic Systems, Cerner, Kaiser Permanente, Mayo Clinic",General,College,Senior-level (5+ years),3.0,"$100,000 - $150,000",100000,150000,125000,True,7,False,"Job Role: Health Informatics Manager. Skills: EHR Systems, HL7/FHIR, SQL, HIPAA, Interoperability, Project Management, Python. Projects: EHR Implementation, Patient Data Integration, Clinical Decision Support System. Experience: Senior-level (5+ years)"
119,Digital Health Product Manager,"Healthcare Regulations, Agile, UX Research, FHIR, Data Analytics, Roadmapping, FDA 510(k)",healthcare regulations | agile | ux research | fhir | data analytics | roadmapping | fda 510 k,"[""healthcare regulations"", ""agile"", ""ux research"", ""fhir"", ""data analytics"", ""roadmapping"", ""fda 510 k""]","Patient Portal App, Remote Monitoring Platform, Digital Therapeutics Product","Teladoc, Hims & Hers, Noom, Abbott",General,College,Mid-level (2-5 years),2.0,"$115,000 - $170,000",115000,170000,142500,True,7,False,"Job Role: Digital Health Product Manager. Skills: Healthcare Regulations, Agile, UX Research, FHIR, Data Analytics, Roadmapping, FDA 510(k). Projects: Patient Portal App, Remote Monitoring Platform, Digital Therapeutics Product. Experience: Mid-level (2-5 years)"
120,Legal Tech Specialist,"Contract Management, AI Legal Tools, Document Review, eDiscovery, Compliance, SQL",contract management | ai legal tools | document review | ediscovery | compliance | sql,"[""contract management"", ""ai legal tools"", ""document review"", ""ediscovery"", ""compliance"", ""sql""]","Contract Automation System, Legal AI Implementation, Compliance Dashboard","Ironclad, Kira Systems, LexisNexis, Thomson Reuters",General,College,Mid-level (2-5 years),2.0,"$90,000 - $140,000",90000,140000,115000,True,6,False,"Job Role: Legal Tech Specialist. Skills: Contract Management, AI Legal Tools, Document Review, eDiscovery, Compliance, SQL. Projects: Contract Automation System, Legal AI Implementation, Compliance Dashboard. Experience: Mid-level (2-5 years)"
121,People Analytics Manager,"Python, SQL, Tableau, Workday, HR Metrics, Statistical Analysis, A/B Testing",python | sql | tableau | workday | hr metrics | statistical analysis | a/b testing,"[""python"", ""sql"", ""tableau"", ""workday"", ""hr metrics"", ""statistical analysis"", ""a/b testing""]","Employee Attrition Model, Compensation Benchmarking, Workforce Planning Dashboard","Workday, LinkedIn, Google, Airbnb",General,College,Mid-level (2-5 years),2.0,"$105,000 - $155,000",105000,155000,130000,True,7,False,"Job Role: People Analytics Manager. Skills: Python, SQL, Tableau, Workday, HR Metrics, Statistical Analysis, A/B Testing. Projects: Employee Attrition Model, Compensation Benchmarking, Workforce Planning Dashboard. Experience: Mid-level (2-5 years)"
122,Battery Systems Engineer,"Electrochemistry, BMS Design, MATLAB, Python, CAD, Thermal Modeling, ISO 26262",electrochemistry | bms design | matlab | python | cad design | thermal modeling | iso 26262,"[""electrochemistry"", ""bms design"", ""matlab"", ""python"", ""cad design"", ""thermal modeling"", ""iso 26262""]","EV Battery Pack Design, Cell Characterization, Battery Management System","Tesla, Rivian, QuantumScape, Panasonic Energy",General,College,Mid-level (2-5 years),2.0,"$110,000 - $165,000",110000,165000,137500,True,7,False,"Job Role: Battery Systems Engineer. Skills: Electrochemistry, BMS Design, MATLAB, Python, CAD, Thermal Modeling, ISO 26262. Projects: EV Battery Pack Design, Cell Characterization, Battery Management System. Experience: Mid-level (2-5 years)"
123,Autonomous Systems Engineer,"ROS2, C++, Python, SLAM, Sensor Fusion, Computer Vision, Perception Algorithms",ros2 | c++ | python | slam | sensor fusion | computer vision | perception algorithms,"[""ros2"", ""c++"", ""python"", ""slam"", ""sensor fusion"", ""computer vision"", ""perception algorithms""]","Autonomous Navigation Stack, Sensor Fusion Pipeline, Simulation Environment","Waymo, Cruise, Aurora, Boston Dynamics",General,College,Senior-level (5+ years),3.0,"$145,000 - $220,000",145000,220000,182500,True,7,False,"Job Role: Autonomous Systems Engineer. Skills: ROS2, C++, Python, SLAM, Sensor Fusion, Computer Vision, Perception Algorithms. Projects: Autonomous Navigation Stack, Sensor Fusion Pipeline, Simulation Environment. Experience: Senior-level (5+ years)"
124,Photonics Engineer,"Optical Design, MATLAB, Python, COMSOL, Laser Systems, Fiber Optics, LiDAR",optical design | matlab | python | comsol | laser systems | fiber optics | lidar,"[""optical design"", ""matlab"", ""python"", ""comsol"", ""laser systems"", ""fiber optics"", ""lidar""]","LiDAR Sensor Design, Fiber Optic Communication System, Photonic Integrated Circuit","Lumentum, II-VI, Apple, Meta Reality Labs",General,College,Mid-level (2-5 years),2.0,"$105,000 - $160,000",105000,160000,132500,True,7,False,"Job Role: Photonics Engineer. Skills: Optical Design, MATLAB, Python, COMSOL, Laser Systems, Fiber Optics, LiDAR. Projects: LiDAR Sensor Design, Fiber Optic Communication System, Photonic Integrated Circuit. Experience: Mid-level (2-5 years)"
125,Growth Marketing Manager,"SQL, Python, A/B Testing, SEO, SEM, CRM, Marketing Analytics, Lifecycle Marketing",sql | python | a/b testing | seo | sem | crm | marketing analytics | lifecycle marketing,"[""sql"", ""python"", ""a/b testing"", ""seo"", ""sem"", ""crm"", ""marketing analytics"", ""lifecycle marketing""]","User Acquisition Campaign, Retention Optimization, Referral Program","Notion, Linear, Canva, HubSpot",General,College,Mid-level (2-5 years),2.0,"$95,000 - $145,000",95000,145000,120000,True,8,False,"Job Role: Growth Marketing Manager. Skills: SQL, Python, A/B Testing, SEO, SEM, CRM, Marketing Analytics, Lifecycle Marketing. Projects: User Acquisition Campaign, Retention Optimization, Referral Program. Experience: Mid-level (2-5 years)"
126,Ai Content Strategist,"LLM Prompt Engineering, SEO, Content Strategy, Analytics, CMS, Brand Voice Guidelines",llm prompt engineering | seo | content strategy | analytics | cms | brand voice guidelines,"[""llm prompt engineering"", ""seo"", ""content strategy"", ""analytics"", ""cms"", ""brand voice guidelines""]","AI Content Workflow, Content Performance Dashboard, Brand Voice AI Training","Jasper, Copy.ai, HubSpot, Contently",General,College,Mid-level (2-5 years),2.0,"$85,000 - $130,000",85000,130000,107500,True,6,False,"Job Role: Ai Content Strategist. Skills: LLM Prompt Engineering, SEO, Content Strategy, Analytics, CMS, Brand Voice Guidelines. Projects: AI Content Workflow, Content Performance Dashboard, Brand Voice AI Training. Experience: Mid-level (2-5 years)"
127,Erp Business Analyst,"SAP, Oracle ERP, SQL, Business Process Mapping, Change Management, Agile, ABAP",sap | oracle erp | sql | business process mapping | change management | agile | abap,"[""sap"", ""oracle erp"", ""sql"", ""business process mapping"", ""change management"", ""agile"", ""abap""]","SAP S/4HANA Migration, ERP Customization, Business Process Reengineering","SAP, Deloitte, PwC, Capgemini",General,College,Senior-level (5+ years),3.0,"$101,000 - $145,000",101000,145000,123000,True,7,False,"Job Role: Erp Business Analyst. Skills: SAP, Oracle ERP, SQL, Business Process Mapping, Change Management, Agile, ABAP. Projects: SAP S/4HANA Migration, ERP Customization, Business Process Reengineering. Experience: Senior-level (5+ years)"
128,Renewable Energy Engineer,"SCADA, PVsyst, MATLAB, Energy Storage, Grid Integration, AutoCAD, PSCAD, Solar, Wind, Battery Storage, System Design, Data Analysis, Troubleshooting, Problem Solving",scada | pvsyst | matlab | energy storage | grid integration | autocad | pscad | solar | wind | battery storage | system design | data analysis | troubleshooting | problem solving,"[""scada"", ""pvsyst"", ""matlab"", ""energy storage"", ""grid integration"", ""autocad"", ""pscad"", ""solar"", ""wind"", ""battery storage"", ""system design"", ""data analysis"", ""troubleshooting"", ""problem solving""]","Solar Farm Design, Wind Energy Assessment, Grid-scale Battery Storage","NextEra Energy, First Solar, Vestas, ENGIE",Electrical,College,Mid-level (2-5 years),2.0,"$90,000 - $135,000",90000,135000,112500,True,14,True,"Job Role: Renewable Energy Engineer. Skills: SCADA, PVsyst, MATLAB, Energy Storage, Grid Integration, AutoCAD, PSCAD, Solar, Wind, Battery Storage, System Design, Data Analysis, Troubleshooting, Problem Solving. Projects: Solar Farm Design, Wind Energy Assessment, Grid-scale Battery Storage. Experience: Mid-level (2-5 years)"
129,Climate Data Scientist,"Python, R, NetCDF, Climate Modeling, Machine Learning, GIS, Statistical Analysis",python | r | netcdf | climate modeling | machine learning | gis | statistical analysis,"[""python"", ""r"", ""netcdf"", ""climate modeling"", ""machine learning"", ""gis"", ""statistical analysis""]","Climate Risk Assessment, Emissions Tracking Dashboard, Carbon Credit Validation","NOAA, The Climate Corporation, Pachama, Xpansiv",General,College,Mid-level (2-5 years),2.0,"$100,000 - $155,000",100000,155000,127500,True,7,False,"Job Role: Climate Data Scientist. Skills: Python, R, NetCDF, Climate Modeling, Machine Learning, GIS, Statistical Analysis. Projects: Climate Risk Assessment, Emissions Tracking Dashboard, Carbon Credit Validation. Experience: Mid-level (2-5 years)"
130,Space Systems Engineer,"Systems Engineering, MATLAB, Orbital Mechanics, CAD, GNC Algorithms, VHDL, Python",systems engineering | matlab | orbital mechanics | cad design | gnc algorithms | vhdl | python,"[""systems engineering"", ""matlab"", ""orbital mechanics"", ""cad design"", ""gnc algorithms"", ""vhdl"", ""python""]","Satellite Constellation Design, Attitude Control System, Mission Planning Software","SpaceX, Blue Origin, Rocket Lab, Northrop Grumman",General,College,Senior-level (5+ years),3.0,"$120,000 - $185,000",120000,185000,152500,True,7,False,"Job Role: Space Systems Engineer. Skills: Systems Engineering, MATLAB, Orbital Mechanics, CAD, GNC Algorithms, VHDL, Python. Projects: Satellite Constellation Design, Attitude Control System, Mission Planning Software. Experience: Senior-level (5+ years)"
131,Ai/Ml Intern,"Python, TensorFlow, PyTorch, Scikit-learn, NumPy, Pandas, Data Preprocessing, Feature Engineering, Model Evaluation, Machine Learning Algorithms, Deep Learning, Neural Networks, Data Visualization, Problem Solving",python | tensorflow | pytorch | scikit learn | numpy | pandas | data preprocessing | feature engineering | model evaluation | machine learning algorithms | deep learning | neural networks | data visualization | problem solving,"[""python"", ""tensorflow"", ""pytorch"", ""scikit learn"", ""numpy"", ""pandas"", ""data preprocessing"", ""feature engineering"", ""model evaluation"", ""machine learning algorithms"", ""deep learning"", ""neural networks"", ""data visualization"", ""problem solving""]",,,Technical,College,Entry-level (0-2 years),1.0,,0,0,0,False,14,True,"Job Role: Ai/Ml Intern. Skills: Python, TensorFlow, PyTorch, Scikit-learn, NumPy, Pandas, Data Preprocessing, Feature Engineering, Model Evaluation, Machine Learning Algorithms, Deep Learning, Neural Networks, Data Visualization, Problem Solving. Experience: Entry-level (0-2 years)"
132,Software Developer,"Java, C++, Python, Git, Debugging, OOP Concepts, Data Structures, Algorithms, SQL, REST APIs, Unit Testing, Problem Solving, Communication",java | c++ | python | git | debugging | oop concepts | data structures | algorithms | sql | rest apis | unit testing | problem solving | communication,"[""java"", ""c++"", ""python"", ""git"", ""debugging"", ""oop concepts"", ""data structures"", ""algorithms"", ""sql"", ""rest apis"", ""unit testing"", ""problem solving"", ""communication""]",,,Technical,College,Entry-level (0-2 years),1.0,,0,0,0,False,13,True,"Job Role: Software Developer. Skills: Java, C++, Python, Git, Debugging, OOP Concepts, Data Structures, Algorithms, SQL, REST APIs, Unit Testing, Problem Solving, Communication. Experience: Entry-level (0-2 years)"
133,Web Developer,"HTML, CSS, JavaScript, React, Node.js, Bootstrap, Responsive Design, Git, REST APIs, Debugging, Cross-browser Testing, Problem Solving",html | css | javascript | react | node.js | bootstrap | responsive design | git | rest apis | debugging | cross browser testing | problem solving,"[""html"", ""css"", ""javascript"", ""react"", ""node.js"", ""bootstrap"", ""responsive design"", ""git"", ""rest apis"", ""debugging"", ""cross browser testing"", ""problem solving""]",,,Technical,College,Entry-level (0-2 years),1.0,,0,0,0,False,12,True,"Job Role: Web Developer. Skills: HTML, CSS, JavaScript, React, Node.js, Bootstrap, Responsive Design, Git, REST APIs, Debugging, Cross-browser Testing, Problem Solving. Experience: Entry-level (0-2 years)"
134,Cloud Engineer,"AWS Basics, Azure, GCP, Linux, Networking, Security Fundamentals, Virtualization, DevOps Basics, Docker, Kubernetes, Scripting, Monitoring, Problem Solving",aws basics | azure | google cloud platform | linux | networking | security fundamentals | virtualization | devops basics | docker | kubernetes | scripting | monitoring | problem solving,"[""aws basics"", ""azure"", ""google cloud platform"", ""linux"", ""networking"", ""security fundamentals"", ""virtualization"", ""devops basics"", ""docker"", ""kubernetes"", ""scripting"", ""monitoring"", ""problem solving""]",,,Technical,College,Entry-level (0-2 years),1.0,,0,0,0,False,13,True,"Job Role: Cloud Engineer. Skills: AWS Basics, Azure, GCP, Linux, Networking, Security Fundamentals, Virtualization, DevOps Basics, Docker, Kubernetes, Scripting, Monitoring, Problem Solving. Experience: Entry-level (0-2 years)"
135,Cybersecurity Intern,"Ethical Hacking, Network Security, Python, Penetration Testing, Vulnerability Assessment, Firewalls, Linux, Cryptography Basics, Malware Analysis, Incident Response, Problem Solving",ethical hacking | network security | python | penetration testing | vulnerability assessment | firewalls | linux | cryptography basics | malware analysis | incident response | problem solving,"[""ethical hacking"", ""network security"", ""python"", ""penetration testing"", ""vulnerability assessment"", ""firewalls"", ""linux"", ""cryptography basics"", ""malware analysis"", ""incident response"", ""problem solving""]",,,Research,College,Entry-level (0-2 years),1.0,,0,0,0,False,11,False,"Job Role: Cybersecurity Intern. Skills: Ethical Hacking, Network Security, Python, Penetration Testing, Vulnerability Assessment, Firewalls, Linux, Cryptography Basics, Malware Analysis, Incident Response, Problem Solving. Experience: Entry-level (0-2 years)"
